,curb-weight,engine-size,horsepower,city_highway_mpg,wheel-base,size,engine-location_rear,drive-wheels_fwd,drive-wheels_rwd,price
0,2548,130,111,24.0,88.6,10820.08,0,0,1,13495
1,2548,130,111,24.0,88.6,10820.08,0,0,1,16500
2,2823,152,154,22.5,94.5,11213.599999999999,0,0,1,16500
3,2337,109,102,27.0,99.8,11690.92,0,1,0,13950
4,2824,136,115,20.0,99.4,11726.24,0,0,0,17450
5,2507,136,110,22.0,99.8,11754.99,0,1,0,15250
6,2844,136,110,22.0,105.8,13758.78,0,1,0,17710
7,2954,136,110,22.0,105.8,13758.78,0,1,0,18920
8,3086,131,140,18.5,105.8,13758.78,0,1,0,23875
9,2395,108,101,26.0,101.2,11456.64,0,0,1,16430
10,2395,108,101,26.0,101.2,11456.64,0,0,1,16925
11,2710,164,121,24.5,101.2,11456.64,0,0,1,20970
12,2765,164,121,24.5,101.2,11456.64,0,0,1,21105
13,3055,164,121,22.5,103.5,12644.1,0,0,1,24565
14,3230,209,182,19.0,103.5,12644.1,0,0,1,30760
15,3380,209,182,19.0,103.5,13159.020000000002,0,0,1,41315
16,3505,209,182,17.5,110.0,13967.300000000001,0,0,1,36880
17,1488,61,48,50.0,88.4,8508.33,0,1,0,5151
18,1874,90,70,40.5,94.5,9915.24,0,1,0,6295
19,1909,90,70,40.5,94.5,10099.68,0,1,0,6575
20,1876,90,68,39.0,93.7,10035.74,0,1,0,5572
21,1876,90,68,34.5,93.7,10035.74,0,1,0,6377
22,2128,98,102,27.0,93.7,10035.74,0,1,0,7957
23,1967,90,68,34.5,93.7,10035.74,0,1,0,6229
24,1989,90,68,34.5,93.7,10035.74,0,1,0,6692
25,1989,90,68,34.5,93.7,10035.74,0,1,0,7609
26,2191,98,102,27.0,93.7,10035.74,0,1,0,8558
27,2535,122,88,27.0,103.3,11279.159999999998,0,1,0,8921
28,2811,156,145,21.5,95.9,11483.159999999998,0,1,0,12964
29,1713,92,58,51.5,86.6,9239.939999999999,0,1,0,6479
30,1819,92,76,34.5,86.6,9239.939999999999,0,1,0,6855
31,1837,79,60,40.0,93.7,9600.0,0,1,0,5399
32,1940,92,76,32.0,93.7,9600.0,0,1,0,6529
33,1956,92,76,32.0,93.7,9600.0,0,1,0,7129
34,2010,92,76,32.0,96.5,10457.6,0,1,0,7295
35,2024,92,76,32.0,96.5,10038.689999999999,0,1,0,7295
36,2236,110,86,30.0,96.5,10921.0,0,1,0,7895
37,2289,110,86,30.0,96.5,10921.0,0,1,0,9095
38,2304,110,86,30.0,96.5,11436.080000000002,0,1,0,8845
39,2372,110,86,30.0,96.5,10962.5,0,1,0,10295
40,2465,110,101,26.0,96.5,11436.080000000002,0,1,0,12945
41,2293,110,100,28.0,96.5,11160.6,0,1,0,10345
